CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup4,ProdGrp1,OpJourneys on selDates,OpMiles on selDates,
2016,2016/P06,2016/W22,East Suburban,Off-Peak,"87,766","1,750,302",
2016,2016/P06,2016/W22,eXpress,Off-Peak,"36,097","1,181,613",
2016,2016/P06,2016/W22,Inter7City,Off-Peak,"84,322","5,581,591",
2016,2016/P06,2016/W22,Scenic,Off-Peak,"40,165","1,604,764",
2016,2016/P06,2016/W22,West Suburban,Off-Peak,"570,976","7,026,419",
2016,2016/P06,2016/W22,East Suburban,Peak,"67,492","1,305,466",
2016,2016/P06,2016/W22,eXpress,Peak,"19,974","583,637",
2016,2016/P06,2016/W22,Inter7City,Peak,"59,016","3,234,085",
2016,2016/P06,2016/W22,Scenic,Peak,"25,127","928,648",
2016,2016/P06,2016/W22,West Suburban,Peak,"266,532","3,721,366",
2016,2016/P06,2016/W23,East Suburban,Commuter,"65,946","1,135,060",
2016,2016/P06,2016/W23,eXpress,Commuter,"24,767","628,318",
2016,2016/P06,2016/W23,Inter7City,Commuter,"24,576","656,146",
2016,2016/P06,2016/W23,Scenic,Commuter,"9,090","165,337",
2016,2016/P06,2016/W23,West Suburban,Commuter,"283,196","3,226,501",
2016,2016/P06,2016/W23,East Suburban,Off-Peak,"74,189","1,505,636",
2016,2016/P06,2016/W23,eXpress,Off-Peak,"30,942","1,021,257",
2016,2016/P06,2016/W23,Inter7City,Off-Peak,"79,000","5,346,256",
2016,2016/P06,2016/W23,Scenic,Off-Peak,"35,116","1,513,858",
2016,2016/P06,2016/W23,West Suburban,Off-Peak,"513,326","6,044,806",
2016,2016/P06,2016/W23,East Suburban,Peak,"68,209","1,343,021",
2016,2016/P06,2016/W23,eXpress,Peak,"21,500","647,426",
2016,2016/P06,2016/W23,Inter7City,Peak,"61,180","3,353,533",
2016,2016/P06,2016/W23,Scenic,Peak,"24,333","866,022",
2016,2016/P06,2016/W23,West Suburban,Peak,"280,638","3,848,602",
2016,2016/P06,2016/W24,East Suburban,Commuter,"63,806","1,096,208",
2016,2016/P06,2016/W24,eXpress,Commuter,"22,824","562,615",
2016,2016/P06,2016/W24,Inter7City,Commuter,"23,715","624,165",
2016,2016/P06,2016/W24,Scenic,Commuter,"9,154","171,826",
2016,2016/P06,2016/W24,West Suburban,Commuter,"277,187","3,143,720",
2016,2016/P06,2016/W24,East Suburban,Off-Peak,"68,379","1,399,684",
2016,2016/P06,2016/W24,eXpress,Off-Peak,"29,176","958,186",
2016,2016/P06,2016/W24,Inter7City,Off-Peak,"76,429","5,188,256",
2016,2016/P06,2016/W24,Scenic,Off-Peak,"34,196","1,460,023",
2016,2016/P06,2016/W24,West Suburban,Off-Peak,"475,854","5,535,749",
2016,2016/P06,2016/W24,East Suburban,Peak,"66,938","1,322,757",
2016,2016/P06,2016/W24,eXpress,Peak,"21,081","635,895",
2016,2016/P06,2016/W24,Inter7City,Peak,"58,980","3,290,918",
2016,2016/P06,2016/W24,Scenic,Peak,"24,798","891,195",
2016,2016/P06,2016/W24,West Suburban,Peak,"271,202","3,762,323",
2016,2016/P06,2016/W25,East Suburban,Commuter,"54,614","955,710",
2016,2016/P06,2016/W25,eXpress,Commuter,"21,155","532,024",
2016,2016/P06,2016/W25,Inter7City,Commuter,"19,313","519,599",
2016,2016/P06,2016/W25,Scenic,Commuter,"6,810","129,946",
